Time,T2,T2_WRF,PP,PP_WRF,P_WRF,U10_WRF,V10_WRF
2018-08-11 17:00:00,8.42,7.7797546,0.399999999999999,0.016983032,1008.5637,-1.5939829,-7.078002
2018-08-11 18:00:00,8.32,8.683685,0.600000000000001,0.15248108,1008.3949,-2.0034506,-8.241765
2018-08-11 19:00:00,8.54,8.479889,0.199999999999999,0.5370941,1008.6396,-1.9301254,-8.035568
2018-08-11 20:00:00,8.47,8.663452,0,0.8023834,1008.78033,-1.4116634,-8.914285
2018-08-11 21:00:00,8.49,8.847321,0,0.14199829,1009.2727,0.48707178,-5.506053
2018-08-11 22:00:00,9.04,8.506378,0,0.15359497,1009.45197,0.01588201,-3.75959
2018-08-11 23:00:00,8.72,8.421387,0,0.154953,1009.678,-0.5111202,-5.3024263
2018-08-12 00:00:00,8.59,7.983856,0,0.120224,1009.891,0.07628697,-3.8187296
2018-08-12 01:00:00,8.44,7.717804,0,0.06123352,1010.10583,0.35967934,-3.572857
2018-08-12 02:00:00,8.12,7.1132812,0,0.000869751,1010.4166,0.9098904,-2.5503583
2018-08-12 03:00:00,8.69,7.7786865,0,0,1010.9164,0.87538487,-3.489397
2018-08-12 04:00:00,8.62,7.630554,0,0,1010.8351,0.16079935,-3.977954
2018-08-12 05:00:00,8.62,7.7882385,0,0,1010.769,-0.44438297,-4.528801
2018-08-12 06:00:00,9.06,7.746826,0,0.00047302246,1010.8546,-0.25945383,-5.279893
2018-08-12 07:00:00,9.06,7.9783936,0,0,1010.6749,-0.6486038,-4.521769
2018-08-12 08:00:00,9.31,8.282623,0,1.5258789e-05,1010.4091,-0.9919445,-5.2823267
2018-08-12 09:00:00,9.04,7.886902,0,0,1010.3267,-1.297331,-6.134858
2018-08-12 10:00:00,9.36,7.6441345,0,0,1010.377,-1.3558772,-6.2388825
2018-08-12 11:00:00,9.51,7.6952515,0,0.00038146973,1010.2971,-1.0677702,-6.799061
2018-08-12 12:00:00,9.46,7.888214,0.199999999999999,0.0017547607,1010.2631,-0.87774813,-7.1460648
2018-08-12 13:00:00,9.39,8.660919,0.199999999999999,0.0019989014,1010.16486,-1.1050823,-7.4850254
2018-08-12 14:00:00,9.36,8.818268,0.399999999999999,0.062164307,1010.08936,-1.2553164,-8.21846
2018-08-12 15:00:00,9.53,9.142548,0.199999999999999,0.0071411133,1009.98083,-0.77766865,-7.9965568
2018-08-12 16:00:00,10.71,9.692261,0,0.024978638,1009.85455,0.043944612,-7.3938727
2018-08-12 17:00:00,11.54,10.218475,0,0.010101318,1009.762,0.59229577,-7.41434
2018-08-12 18:00:00,10.32,10.028381,0,0.032058716,1009.7396,0.5302571,-6.6342826
2018-08-12 19:00:00,9.83,10.218048,0.600000000000001,0.33084106,1009.50055,-0.50414044,-6.0886803
